;id;name;address;rating;price;phone;distance;latitude;longitude;source;city;station;station_latitude;station_longitude;station_number_of_bikes
1;4b5487f4f964a520cabe27e3;Barley's Taproom & Piz;25 W Washington St (Btw S Main & S Laurens St.), Greenville, SC 29601;8.0;1.0;(864) 232-3706;124;34.850802;-82.399831;Foursquare;Greenville, SC;Transit Center;34.85028;-82.40107;7
27;4b76d4faf964a52099622ee3;Brick Street Cafe;315 Augusta St, Greenville, SC 29601;8.4;2.0;(864) 421-0111;674;34.840406;-82.406261;Foursquare;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
21;4b6c5b63f964a5204f332ce3;Chicora Alley;608 S Main St, Greenville, SC 29601;8.3;2.0;(864) 232-4100;617;34.845138;-82.402374;Foursquare;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
25;540ae735498ed28daaa5af37;Eggs Up Grill;31 Augusta St, Greenville, SC 29601;8.3;2.0;(864) 520-2005;662;34.843497;-82.404685;Foursquare;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
41;50575585e4b01ef823440c65;Grill Marks - Main St. Greenville;209 S Main St, Greenville, SC 29601;8.2;2.0;(864) 233-5825;47;34.848172;-82.400019;Foursquare;Greenville, SC;City Hall;34.84841;-82.40027;3
85;569e8e21498e0c3b024d94c4;Halls Chophouse Greenville;550 S Main St, Greenville, SC 29601;8.8;2.0;(864) 335-4200;160;34.845661;-82.402022;Foursquare;Greenville, SC;River Walk;34.84722;-82.40256;2
29;4b3b8e2ef964a520b97525e3;Larkins On The River;318 S Main St (Downtown), Greenville, SC 29601;8.6;4.0;(864) 467-9777;769;34.846894;-82.401523;Foursquare;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
31;5a0f285e916bc10c34507e9a;Maple Street Biscuit Company;18 E North St, Greenville, SC 29601;7.9;1.0;(864) 520-8724;208;34.852047;-82.397509;Foursquare;Greenville, SC;College & Main;34.85399;-82.39797;6
58;4cd984db2a87a143aa27b309;Mike & Jeff's BBQ Diner;2401 Old Buncombe Rd, Greenville, SC 29609;8.7;2.0;(864) 271-5225;981;34.876639;-82.415539;Foursquare;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
59;4bc7bca414d79521260c68e9;Purple International Bistro & Sushi;933 S Main St, Greenville, SC 29601;8.3;2.0;(864) 232-3255;55;34.843098;-82.408507;Foursquare;Greenville, SC;Fluor Field;34.8429;-82.40897;4
