;id;name;address;rating;price;phone;distance;latitude;longitude;source;city;station;station_latitude;station_longitude;station_number_of_bikes
68;sB7UpZeBzN2Lw76qU9XuBg;Antonino Bertolo's Pizza;200 N Main St;7.0;1.0;(864) 467-9555;140.35793334242507;34.852729;-82.397901;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
119;di1jOLuJDg_qxXwY81JEhg;Aryana Afghan Cuisine;210 E Coffee St;9.0;2.0;(864) 236-7410;1061.0330262917694;34.8506622314453;-82.3966064453125;Yelp;Greenville, SC;Greenville Zoo;34.84717;-82.38581;2
161;SGOw7GeyZaSw8q3doiBIZw;Automatic Taco;147 Welborn St;9.0;1.0;(864) 203-5704;182.98759099978156;34.8531522;-82.41391209999999;Yelp;Greenville, SC;Unity Park;34.85409;-82.41556;3
217;Tv3bOWsuamxjk-W6x9pB8A;Basil Thai Cuisine;9 N Laurens St;8.0;2.0;(864) 609-4120;188.67051849060852;34.851551;-82.3999017;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
145;0NBo2hP22P80KQnkyRttnw;Bex Cafe & Juice Bar;820 S Main St;9.0;1.0;(864) 552-1509;245.81405005961292;34.844097;-82.406646;Yelp;Greenville, SC;Fluor Field;34.8429;-82.40897;4
40;5nDkkj6j8xRZUbhT1fEjYA;Biscuit Head;823 S Church St;9.0;2.0;(864) 248-0371;165.15626344701857;34.8392776522715;-82.3999717691856;Yelp;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
202;5B0hC3UtZVtQE5G3u7zteQ;Blues Boulevard Jazz;300 River St;8.0;2.0;(864) 242-2583;76.9736979045986;34.8465338;-82.4024488;Yelp;Greenville, SC;River Walk;34.84722;-82.40256;2
5;gB29f_iqBTTpZWoS_ttFgg;Bonjour Main;20 S Main St;8.0;2.0;(864) 509-1090;143.4001761615191;34.850172;-82.399517;Yelp;Greenville, SC;Transit Center;34.85028;-82.40107;7
156;vwPGp4xWJvu9WLVkEmeGzA;Brick Street Cafe;315 Augusta St;7.0;2.0;(864) 421-0111;373.80996720519545;34.84043;-82.40592;Yelp;Greenville, SC;Fluor Field;34.8429;-82.40897;4
62;DohhsD3aTpdBcP9W2bCz1Q;Cafe And Then Some;101 College St;8.0;2.0;(864) 232-2287;64.97575295403115;34.854273;-82.398593;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
77;XF5PsnK9m2_1pRd07y3XYg;Cantina 76;103 N Main St;8.0;2.0;(864) 631-2914;250.1783009565364;34.8518257141113;-82.3988494873047;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
9;0JE7srS8VzUoOnMjjgsP5g;Cantinflas Mexican and Vegetarian Cuisine;10 S Main St;4.0;2.0;(864) 242-3939;152.06822366559885;34.850555;-82.399329;Yelp;Greenville, SC;Transit Center;34.85028;-82.40107;7
19;zQs9f9O45_d195ZC9iBHzA;Carolina Ale House;113 S Main St;5.0;2.0;(864) 351-0521;212.89817340820258;34.84905;-82.3993;Yelp;Greenville, SC;Transit Center;34.85028;-82.40107;7
169;hzjIVKnIvSvyc4thIJk7sQ;Carolina Drive In Restaurant;105 Rutherford St;7.0;2.0;(864) 233-6540;1186.2296932339;34.860394;-82.405156;Yelp;Greenville, SC;Unity Park;34.85409;-82.41556;3
2;icpXzxKfI0DzvS9krCwiSg;Charleston Sports Pub;15 W Washington St;6.0;2.0;(864) 520-2333;124.89711452870752;34.8507041;-82.3998026;Yelp;Greenville, SC;Transit Center;34.85028;-82.40107;7
49;I6W1YaOe75wjBdlW2X3KzQ;Chicora Alley;608 S Main St;7.0;2.0;(864) 232-4100;605.6812565700512;34.8450053652738;-82.4024313325103;Yelp;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
70;xTK1TKzGhqy1uaBnphnu3w;City Tavern;128 N Main St;7.0;1.0;(864) 448-9928;190.6437733019953;34.85225;-82.39795;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
134;zj4kRg7jXk68fB67o3fZOQ;Dairy Queen Grill & Chill;1806 W Blue Ridge Dr;4.0;1.0;(864) 246-5250;887.1684115717547;34.8701286;-82.4312897;Yelp;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
52;Siu5Art4D2_AvoxSIO2klw;Eggs Up Grill;31 Augusta St;7.0;2.0;(864) 520-2005;619.139355588358;34.8434686581421;-82.40451495216914;Yelp;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
